"Date","Price","Open","High","Low","Vol.","Change %"
"10/05/2022","183.87","182.59","185.14","180.20","797.65K","0.22%"
"10/04/2022","183.46","174.98","183.65","174.98","1.06M","2.32%"
"10/03/2022","179.30","174.79","180.02","174.42","564.96K","3.22%"
"09/30/2022","173.70","176.49","178.94","173.49","762.18K","-1.40%"
"09/29/2022","176.17","175.90","176.29","174.10","769.91K","-0.63%"
"09/28/2022","177.29","174.54","177.91","173.99","659.85K","2.76%"
"09/27/2022","172.53","174.79","176.91","171.58","550.24K","-0.49%"
"09/26/2022","173.38","173.85","178.21","173.25","803.61K","-0.18%"
"09/23/2022","173.70","174.37","175.45","171.14","627.85K","-0.54%"
"09/22/2022","174.64","175.28","177.02","174.59","602.39K","-1.18%"
"09/21/2022","176.72","177.20","182.15","176.24","1.06M","1.14%"
"09/20/2022","174.73","175.10","175.88","173.15","905.90K","-0.87%"
"09/19/2022","176.27","174.42","176.90","174.32","854.63K","0.71%"
"09/16/2022","175.03","173.74","176.21","171.93","2.26M","0.23%"
"09/15/2022","174.62","177.85","178.61","174.39","838.57K","-2.09%"
"09/14/2022","178.34","179.73","182.11","177.08","614.05K","-0.23%"
"09/13/2022","178.75","184.15","184.47","178.19","732.16K","-5.44%"
"09/12/2022","189.04","190.25","191.76","187.49","738.93K","-0.80%"
"09/09/2022","190.56","187.79","190.81","187.79","422.95K","1.72%"
"09/08/2022","187.33","185.20","189.65","183.90","453.88K","0.43%"
"09/07/2022","186.53","183.53","187.29","183.20","689.08K","2.33%"
"09/06/2022","182.29","181.85","183.93","179.93","441.92K","0.46%"
"09/02/2022","181.45","183.14","185.54","180.25","467.69K","-0.54%"
"09/01/2022","182.43","181.13","184.74","178.97","489.45K","0.12%"
"08/31/2022","182.22","183.07","183.57","180.45","966.22K","0.26%"
"08/30/2022","181.75","184.02","184.74","179.98","439.75K","-1.27%"
"08/29/2022","184.08","185.69","187.23","183.51","445.38K","-1.83%"
"08/26/2022","187.51","194.80","194.94","187.32","408.78K","-3.65%"
"08/25/2022","194.61","194.51","194.69","192.03","355.27K","0.64%"
"08/24/2022","193.38","194.11","195.08","193.33","307.75K","-0.41%"
"08/23/2022","194.18","195.86","197.10","194.05","338.28K","-0.93%"
"08/22/2022","196.01","199.97","200.50","195.52","542.92K","-2.71%"
"08/19/2022","201.47","204.29","204.29","199.86","606.73K","-2.42%"
"08/18/2022","206.47","204.62","206.60","203.94","616.58K","0.83%"
"08/17/2022","204.78","202.49","206.32","201.39","531.34K","0.38%"
"08/16/2022","204.00","204.21","205.22","202.70","372.95K","-0.16%"
"08/15/2022","204.33","201.84","205.31","198.73","448.83K","1.11%"
"08/12/2022","202.09","198.70","202.56","198.15","389.01K","2.44%"
"08/11/2022","197.28","201.00","201.00","196.93","433.90K","-1.29%"
"08/10/2022","199.85","200.07","200.43","198.41","442.13K","1.84%"
"08/09/2022","196.24","197.83","197.83","195.20","481.94K","-0.71%"
"08/08/2022","197.65","200.08","200.68","197.20","470.38K","-0.53%"
"08/05/2022","198.70","193.87","199.01","193.80","527.87K","0.76%"
"08/04/2022","197.20","195.54","197.23","194.66","489.24K","0.85%"
"08/03/2022","195.54","192.95","196.21","192.88","442.48K","1.26%"
"08/02/2022","193.11","192.00","194.67","191.31","715.21K","-0.01%"
"08/01/2022","193.12","187.47","193.44","186.76","868.61K","2.09%"
"07/29/2022","189.16","180.85","189.85","179.12","1.40M","3.63%"
"07/28/2022","182.54","181.29","183.18","178.88","731.13K","0.63%"
"07/27/2022","181.39","178.25","182.21","178.01","581.43K","2.32%"
"07/26/2022","177.28","180.92","181.59","176.37","717.21K","-2.29%"
"07/25/2022","181.44","185.83","185.83","180.03","550.38K","-2.08%"
"07/22/2022","185.30","186.76","188.62","183.94","611.71K","-0.78%"
"07/21/2022","186.76","184.00","187.00","183.47","487.01K","1.73%"
"07/20/2022","183.58","182.65","185.10","182.06","651.59K","0.97%"
"07/19/2022","181.82","177.28","182.32","177.28","538.89K","3.52%"
"07/18/2022","175.63","177.75","179.44","174.99","582.30K","-1.04%"
"07/15/2022","177.48","175.91","177.53","175.38","463.38K","2.01%"
