"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2023","331.93","335.39","335.99","329.12","3.74M","-1.40%"
"05/30/2023","336.64","341.02","343.38","335.35","2.53M","-1.06%"
"05/26/2023","340.26","342.34","344.39","339.49","1.79M","-0.61%"
"05/25/2023","342.34","343.09","346.53","340.95","1.42M","-0.65%"
"05/24/2023","344.58","353.86","353.97","343.42","2.12M","-2.62%"
"05/23/2023","353.86","362.40","362.99","352.45","1.59M","-2.55%"
"05/22/2023","363.12","366.93","367.84","356.65","1.83M","-1.47%"
"05/19/2023","368.53","375.21","375.21","365.11","1.57M","-2.69%"
"05/18/2023","378.70","371.90","379.35","371.15","1.22M","1.74%"
"05/17/2023","372.22","371.30","373.24","367.35","1.38M","0.19%"
"05/16/2023","371.52","372.16","372.88","367.55","1.51M","-1.12%"
"05/15/2023","375.71","376.60","378.00","373.71","1.30M","-0.13%"
"05/12/2023","376.20","377.01","378.43","372.50","1.04M","-0.30%"
"05/11/2023","377.32","378.75","379.66","376.05","775.90K","-0.53%"
"05/10/2023","379.32","385.36","385.36","377.72","1.03M","-0.56%"
"05/09/2023","381.44","377.11","383.37","375.93","1.00M","-0.11%"
"05/08/2023","381.86","387.99","388.99","380.92","1.13M","-1.25%"
"05/05/2023","386.71","385.33","389.06","382.63","1.32M","1.22%"
"05/04/2023","382.06","383.12","384.73","381.02","1.48M","-0.28%"
"05/03/2023","383.12","381.53","387.68","378.38","1.28M","0.62%"
"05/02/2023","380.75","383.18","383.80","378.25","1.23M","-1.10%"
"05/01/2023","384.99","380.58","385.43","380.21","1.30M","1.33%"
"04/28/2023","379.93","377.16","380.33","375.91","1.01M","0.49%"
"04/27/2023","378.08","376.34","379.15","373.32","1.05M","1.38%"
"04/26/2023","372.94","373.78","375.21","371.86","1.02M","0.03%"
"04/25/2023","372.81","378.22","380.39","372.26","1.78M","-2.24%"
"04/24/2023","381.37","378.76","384.25","377.83","1.50M","0.94%"
"04/21/2023","377.80","376.71","378.09","374.28","1.01M","0.29%"
"04/20/2023","376.71","369.53","377.84","369.07","1.40M","1.78%"
"04/19/2023","370.12","371.75","374.05","369.85","878.80K","-0.64%"
"04/18/2023","372.50","372.10","373.50","369.53","1.41M","1.12%"
"04/17/2023","368.38","369.99","373.41","366.99","1.82M","0.04%"
"04/14/2023","368.25","364.00","369.14","363.86","1.03M","1.06%"
"04/13/2023","364.38","365.87","366.86","363.50","1.20M","0.23%"
"04/12/2023","363.54","370.00","370.00","363.11","1.09M","-0.62%"
"04/11/2023","365.81","362.75","368.94","361.80","1.33M","0.67%"
"04/10/2023","363.37","361.47","364.67","361.17","972.18K","-0.26%"
"04/06/2023","364.33","362.22","365.59","359.64","1.32M","-0.13%"
"04/05/2023","364.81","367.64","371.26","362.76","1.44M","-0.54%"
"04/04/2023","366.80","366.59","370.26","364.80","1.68M","-0.16%"
"04/03/2023","367.40","364.19","367.52","361.73","1.66M","0.88%"
"03/31/2023","364.19","360.05","364.49","357.73","2.22M","1.70%"
"03/30/2023","358.09","365.00","368.14","356.50","2.86M","-0.82%"
"03/29/2023","361.04","366.25","370.25","359.64","11.50M","12.72%"
"03/28/2023","320.31","319.61","321.25","314.22","5.87M","0.97%"
"03/27/2023","317.22","316.30","317.87","310.41","1.82M","1.20%"
"03/24/2023","313.45","308.06","315.51","306.59","1.51M","1.70%"
"03/23/2023","308.22","308.28","312.58","304.19","1.52M","1.48%"
"03/22/2023","303.73","301.62","312.20","300.78","2.46M","1.65%"
"03/21/2023","298.81","296.53","304.75","296.45","2.37M","1.83%"
"03/20/2023","293.45","295.96","297.43","289.81","1.62M","-0.44%"
"03/17/2023","294.74","294.87","297.32","289.94","2.52M","-0.89%"
"03/16/2023","297.40","290.42","297.54","289.14","1.67M","1.42%"
"03/15/2023","293.23","291.02","294.29","286.58","2.06M","-0.63%"
"03/14/2023","295.10","296.15","296.52","291.50","2.81M","0.75%"
"03/13/2023","292.90","294.41","296.83","288.53","3.39M","-1.13%"
"03/10/2023","296.26","302.88","302.92","294.23","2.86M","-1.84%"
"03/09/2023","301.80","305.73","309.19","300.19","1.49M","-1.33%"
"03/08/2023","305.87","302.11","307.27","300.65","1.40M","1.35%"
"03/07/2023","301.81","305.73","311.40","301.53","1.97M","-0.92%"
"03/06/2023","304.60","314.27","316.85","304.53","2.40M","-3.86%"
"03/03/2023","316.83","314.00","317.59","311.30","977.53K","1.66%"
"03/02/2023","311.65","307.94","313.60","306.57","898.33K","0.70%"
"03/01/2023","309.49","309.39","311.76","303.81","1.26M","0.09%"
"02/28/2023","309.20","308.68","312.98","308.38","1.03M","-0.35%"
"02/27/2023","310.30","311.50","313.14","307.36","1.01M","0.71%"
"02/24/2023","308.10","313.33","313.33","305.82","1.29M","-3.05%"
"02/23/2023","317.80","316.54","318.00","310.21","984.02K","0.40%"
"02/22/2023","316.52","313.77","317.54","312.35","768.77K","0.77%"
"02/21/2023","314.11","314.83","318.34","313.80","1.07M","-1.95%"
"02/17/2023","320.36","318.77","322.11","315.20","840.10K","-0.46%"
"02/16/2023","321.83","322.61","328.16","319.58","1.10M","-1.05%"
"02/15/2023","325.23","318.06","325.27","317.67","1.03M","1.67%"
"02/14/2023","319.88","313.64","321.79","311.66","1.01M","0.88%"
"02/13/2023","317.08","311.31","317.48","309.97","1.20M","2.48%"
"02/10/2023","309.40","306.91","311.50","305.78","1.36M","-0.34%"
"02/09/2023","310.45","313.43","316.53","309.23","1.15M","0.38%"
"02/08/2023","309.28","314.06","315.52","307.03","1.48M","-3.08%"
"02/07/2023","319.10","311.66","319.78","305.78","1.26M","2.50%"
"02/06/2023","311.32","314.42","319.39","310.19","1.25M","-2.54%"
"02/03/2023","319.42","317.50","325.10","317.50","1.19M","-1.03%"
"02/02/2023","322.76","318.96","328.42","316.56","2.22M","2.23%"
"02/01/2023","315.71","306.90","318.69","305.25","2.01M","2.88%"
"01/31/2023","306.88","303.21","307.26","301.80","1.67M","1.42%"
"01/30/2023","302.59","308.98","310.96","302.41","1.59M","-2.66%"
"01/27/2023","310.85","307.81","311.69","305.18","2.08M","0.41%"
"01/26/2023","309.59","313.27","313.50","305.77","1.71M","0.02%"
"01/25/2023","309.52","305.41","310.85","304.22","1.43M","-0.54%"
"01/24/2023","311.21","304.45","311.42","302.11","2.69M","-1.54%"
"01/23/2023","316.08","312.50","319.13","310.00","1.64M","1.05%"
"01/20/2023","312.80","307.25","314.42","304.34","1.54M","1.58%"
"01/19/2023","307.94","316.01","316.84","306.70","1.52M","-3.18%"
"01/18/2023","318.07","324.85","327.76","317.17","1.28M","-1.78%"
"01/17/2023","323.82","314.00","324.19","313.15","1.49M","2.65%"
"01/13/2023","315.47","311.17","315.74","310.25","1.54M","0.15%"
"01/12/2023","314.99","311.96","316.85","306.86","1.59M","0.97%"
"01/11/2023","311.96","310.76","312.41","306.90","2.22M","0.80%"
"01/10/2023","309.48","299.84","309.88","298.59","3.14M","3.62%"
"01/09/2023","298.66","293.20","304.41","289.48","8.29M","-9.29%"
"01/06/2023","329.26","329.50","334.23","326.82","2.30M","1.02%"
"01/05/2023","325.93","320.87","328.54","316.50","1.79M","1.54%"
"01/04/2023","320.98","326.56","326.75","317.03","1.68M","-0.74%"
"01/03/2023","323.38","326.88","327.34","319.46","1.30M","0.94%"
"12/30/2022","320.38","311.86","320.47","311.30","1.35M","1.12%"
"12/29/2022","316.82","310.21","318.31","310.04","936.00K","2.54%"
"12/28/2022","308.96","313.99","315.82","307.63","1.46M","-1.93%"
"12/27/2022","315.04","312.77","318.99","309.66","1.29M","1.12%"
"12/23/2022","311.54","310.25","312.68","309.00","933.60K","-0.44%"
"12/22/2022","312.93","313.02","314.49","308.69","1.50M","-1.20%"
"12/21/2022","316.74","317.91","320.42","311.56","2.32M","3.13%"
"12/20/2022","307.12","315.00","315.55","306.38","2.35M","-3.09%"
"12/19/2022","316.92","321.31","321.31","316.51","1.25M","-1.34%"
"12/16/2022","321.24","322.07","326.50","318.19","2.17M","-1.22%"
"12/15/2022","325.21","327.10","331.49","325.00","2.07M","-2.44%"
"12/14/2022","333.33","326.27","337.27","326.00","2.82M","2.16%"
"12/13/2022","326.27","338.00","339.81","321.50","2.62M","-0.60%"
"12/12/2022","328.23","325.24","328.50","319.00","4.12M","0.56%"
"12/09/2022","326.39","344.13","349.00","323.15","9.31M","-12.85%"
"12/08/2022","374.51","374.99","377.20","368.44","3.34M","0.59%"
"12/07/2022","372.33","371.23","377.01","369.98","1.39M","0.63%"
"12/06/2022","370.00","380.60","382.08","366.39","1.20M","-2.92%"
"12/05/2022","381.13","384.14","384.14","374.76","1.70M","-1.26%"
"12/02/2022","385.99","375.51","386.70","375.20","1.18M","1.09%"
"12/01/2022","381.82","380.31","386.45","377.89","1.24M","0.40%"
"11/30/2022","380.31","364.57","380.87","362.65","2.27M","4.68%"
"11/29/2022","363.32","363.39","368.09","361.43","932.82K","0.01%"
"11/28/2022","363.28","361.76","368.14","361.33","1.10M","0.59%"
"11/25/2022","361.16","359.45","362.28","358.76","523.43K","0.17%"
"11/23/2022","360.53","355.38","362.11","353.08","824.29K","1.37%"
"11/22/2022","355.64","351.79","355.87","346.66","901.81K","1.79%"
"11/21/2022","349.38","344.29","351.31","340.50","1.04M","0.44%"
"11/18/2022","347.85","358.12","360.00","344.30","1.20M","-1.81%"
"11/17/2022","354.27","349.74","355.13","347.59","806.90K","-0.42%"
"11/16/2022","355.76","351.65","357.42","345.77","1.35M","-1.06%"
"11/15/2022","359.56","364.91","368.54","357.35","1.32M","1.93%"
"11/14/2022","352.74","354.46","360.66","351.06","1.26M","-1.93%"
"11/11/2022","359.70","353.43","370.46","353.00","2.34M","1.65%"
"11/10/2022","353.85","338.83","354.64","338.75","2.21M","10.16%"
